Nome_Unidade,UF_Unidade
SEC DE RECURSOS HUMANOS/JOAO PESSOA,PB
SEC DE RECURSOS HUMANOS/TERESINA,PI
SEC DE RECURSOS HUMANOS/RJ CENTRO,RJ
SEC DE RECURSOS HUMANOS/PORTO VELHO,RO
COMANDO DO 7 DISTRITO NAVAL,DF
DELEGACIA/RF/NATAL/RN,RN
SUPERINTENDENCIA DE ADMINISTRACAO MF/AL,AL
SUPERINTENDENCIA DE ADMINISTRACAO MF/AP,AP
DELEGACIA/RF/JOAO PESSOA/PB,PB
SUPERINTENDENCIA DE ADMINISTRACAO MF/RS,RS
SUPERINTENDENCIA DE ADMINISTRACAO MF/PI,PI
SEC DE RECURSOS HUMANOS/PORTO ALEGRE,RS
SUP REGIONAL RECEITA FEDERAL/1A.RF/SRF,DF
SERV DE RECURSOS HUM DA ADM CENTRAL,DF
SUPERINTENDENCIA DE ADMINISTRACAO MF/RO,RO
DELEGACIA/RF/SAO LUIS/MA,MA
DELEGACIA/RF/TERESINA/PI,PI
SUPERINTENDENCIA DE ADMINISTRACAO MF/AC,AC
CEPESC,DF
DELEGACIA/RF/GOIANIA/GO,GO
DELEGACIA/RF/BOA VISTA/RR,RR
GERENCIA DE ADMINISTRACAO E DESENVOLVIME,DF
PRO-REITORIA DE RECURSOS HUMANOS,MG
SUP DE RECURSOS HUMANOS,DF
SUPERINTENDENCIA DE ADMINISTRACAO MF/BA,BA
DELEGACIA/RF/MANAUS/AM,AM
DEPARTAMENTO DE PESSOAL,SE
SEC DE RECURSOS HUMANOS/ARACAJU,SE
SEC DE RECURSOS HUMANOS/JUIZ DE FORA,MG
SEC DE RECURSOS HUMANOS/POCOS DE CALDAS,MG
SEC DE RECURSOS HUMANOS/DOURADOS,MS
DELEGACIA/RF/PALMAS/TO,TO
SEC DE RECURSOS HUMANOS/SALVADOR,BA
SUPERINTENDENCIA DE ADMINISTRACAO MF/SC,SC
SEC DE RECURSOS HUMANOS/ SAO PAULO CENTR,SP
POLICIA RODOVIARIA FEDERAL,DF
GERENCIA DE RECURSOS HUMANOS,RJ
